0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
19.34165002,2.139168666,6.77403411,20.32210233,26.73960833,5.16965761,9.982787109,5.526185721,7.308826276,3.119620972,8.021882498,2.852224888,8.467542637,1.960904611,15.59810486,2.852224888,7.754486415,3.119620972,2.139168666,9.447994943
19.32086919,2.136870325,6.76675603,20.30026809,26.71087906,5.164103286,9.972061517,5.52024834,7.300973611,3.116269224,8.013263719,2.849160434,8.458445037,1.958797798,15.58134612,2.849160434,7.746154929,3.116269224,2.136870325,9.437843936
19.35946174,2.141138626,6.780272314,20.34081694,26.76423282,5.174418345,9.991980252,5.531274783,7.315556971,3.122493829,8.029269846,2.854851501,8.475340393,1.962710407,15.61246914,2.854851501,7.761627518,3.122493829,2.141138626,9.456695596
19.3297747,2.137855266,6.769875009,20.30962503,26.72319083,5.16648356,9.976657908,5.522792771,7.304338826,3.117705596,8.016957248,2.850473688,8.462343761,1.959700661,15.58852798,2.850473688,7.749725339,3.117705596,2.137855266,9.442194092
19.3259335,2.137430433,6.768529705,20.30558911,26.71788041,5.16545688,9.974675354,5.521695285,7.302887313,3.117086048,8.015364124,2.849907244,8.460662131,1.95931123,15.58543024,2.849907244,7.74818532,3.117086048,2.137430433,9.440317746
19.36493654,2.141744133,6.782189755,20.34656927,26.77180167,5.175881655,9.994805955,5.532839011,7.317625789,3.123376861,8.0315405,2.855658844,8.477737194,1.963265456,15.61688431,2.855658844,7.763822483,3.123376861,2.141744133,9.459369922
19.3616903,2.141385103,6.781052825,20.34315847,26.76731378,5.175013998,9.993130479,5.531911515,7.3163991,3.122853275,8.030194135,2.855180137,8.476316031,1.962936344,15.61426637,2.855180137,7.762520997,3.122853275,2.141385103,9.457784203
19.31228901,2.135921365,6.76375099,20.29125297,26.69901707,5.161809966,9.967633038,5.51779686,7.297731332,3.114885324,8.00970512,2.847895154,8.454688738,1.957927918,15.57442662,2.847895154,7.742714949,3.114885324,2.135921365,9.433652697
19.2666486,2.130873578,6.74776633,20.24329899,26.63591972,5.149611147,9.944076697,5.504756743,7.280484724,3.107523968,7.990775917,2.84116477,8.434707912,1.95330078,15.53761984,2.84116477,7.72441672,3.107523968,2.130873578,9.411358302
19.16721977,2.119876841,6.71294333,20.13882999,26.49846051,5.123035699,9.892758591,5.476348506,7.24291254,3.09148706,7.949538153,2.826502455,8.391179162,1.943220437,15.4574353,2.826502455,7.684553548,3.09148706,2.119876841,9.362789381
19.17336059,2.12055601,6.715094033,20.1452821,26.50695013,5.124677025,9.895928049,5.478103027,7.245233036,3.092477515,7.952085039,2.827408014,8.393867541,1.94384301,15.46238758,2.827408014,7.687015538,3.092477515,2.12055601,9.365789046
19.22419432,2.126178174,6.73289755,20.19869265,26.57722717,5.13826392,9.922164811,5.492626949,7.264442093,3.100676503,7.973168151,2.834904232,8.416121938,1.948996659,15.50338252,2.834904232,7.70739588,3.100676503,2.126178174,9.390620267
19.18678118,2.122040315,6.719794331,20.15938299,26.52550394,5.128264094,9.902854803,5.48193748,7.250304409,3.094642126,7.957651181,2.829387087,8.399742913,1.945203622,15.47321063,2.829387087,7.692396142,3.094642126,2.122040315,9.372344724
19.15690004,2.118735489,6.709329048,20.12798714,26.48419361,5.120277431,9.887432281,5.473400013,7.23901292,3.089822588,7.945258083,2.824980652,8.38666131,1.942174198,15.44911294,2.824980652,7.680416147,3.089822588,2.118735489,9.357748409
19.1158989,2.1142008,6.694969201,20.0849076,26.42751001,5.109318601,9.866270402,5.461685401,7.223519402,3.083209501,7.928253002,2.818934401,8.368711502,1.9380174,15.4160475,2.818934401,7.663977902,3.083209501,2.1142008,9.337720202
19.09589279,2.111988143,6.687962453,20.06388736,26.39985179,5.103971345,9.855944667,5.455969369,7.215959488,3.079982708,7.919955536,2.815984191,8.359953066,1.935989131,15.39991354,2.815984191,7.655957018,3.079982708,2.111988143,9.327947631
19.02778331,2.104455297,6.664108441,19.99232532,26.30569122,5.085766968,9.820791387,5.436509518,7.190222266,3.068997309,7.891707365,2.805940396,8.330135552,1.929084023,15.34498654,2.805940396,7.628650453,3.068997309,2.104455297,9.294677563
18.99516092,2.10084729,6.652683086,19.95804926,26.26059113,5.077047618,9.803954022,5.427188833,7.177894909,3.063735632,7.878177339,2.80112972,8.315853858,1.925776683,15.31867816,2.80112972,7.615571427,3.063735632,2.10084729,9.278742199
19.0043096,2.101859127,6.655887235,19.9676617,26.27323908,5.07949289,9.808675925,5.429802744,7.181352016,3.065211227,7.881971725,2.802478836,8.319859043,1.9267042,15.32605613,2.802478836,7.619239335,3.065211227,2.101859127,9.283211143
18.93560267,2.094260203,6.631823976,19.89547193,26.17825254,5.061128824,9.773214281,5.410172191,7.155389027,3.054129463,7.853475761,2.792346937,8.28977997,1.919738519,15.27064731,2.792346937,7.591693236,3.054129463,2.094260203,9.24964923
18.8386516,2.083537504,6.597868763,19.79360629,26.0442188,5.035215635,9.723175018,5.382471885,7.118753139,3.038492193,7.81326564,2.778050005,8.247335953,1.909909379,15.19246097,2.778050005,7.552823452,3.038492193,2.083537504,9.202290642
18.78679949,2.077802708,6.579708576,19.73912573,25.97253385,5.021356545,9.696412639,5.367656997,7.099159253,3.03012895,7.791760156,2.770403611,8.22463572,1.904652483,15.15064475,2.770403611,7.532034818,3.03012895,2.077802708,9.176961962
18.80620521,2.079948963,6.586505049,19.75951515,25.99936204,5.026543327,9.706428494,5.373201488,7.10649229,3.033258904,7.799808611,2.773265284,8.233131312,1.906619883,15.16629452,2.773265284,7.539814991,3.033258904,2.079948963,9.186441253
